Daytime_dd_mm_yyyy_hh_ss,Daynum_d,VehId,Trip,Timestamp,Latitude,Longitude,HV Battery Soc,Distance,Stop_d,Stop_hh_mm_ss
06-Nov-2017 16:26:07,6.6848,12,307,0,42.295426389,-83.705094444,NaN,0,0,00:00:00
06-Nov-2017 16:41:18,6.6954,12,307,911500,42.235151944,-83.739206944,NaN,10.357629889,0.0314289814814881,01:00:27
06-Nov-2017 17:26:34,6.7268,12,308,0,42.231841667,-83.738891944,NaN,0,0,00:00:00
06-Nov-2017 17:41:08,6.7369,12,308,874500,42.295130278,-83.704659444,NaN,10.648249715,0,00:00:00
06-Nov-2017 01:26:21,6.06,130,990,0,42.257775278,-83.700291944,NaN,0,0,00:00:00
06-Nov-2017 02:10:15,6.0905,130,990,2634800,42.256957778,-83.695716111,NaN,20.155470214,0.659740370329649,16:33:56
06-Nov-2017 18:00:17,6.7502,130,995,0,42.254029444,-83.680545278,NaN,0,0,00:00:00
06-Nov-2017 18:04:04,6.7528,130,995,226800,42.259246389,-83.710563056,NaN,2.5601624714,0,00:00:00
06-Nov-2017 03:04:27,6.1281,133,1415,0,42.257919444,-83.766668889,NaN,0,0,00:00:00
06-Nov-2017 03:29:50,6.1457,133,1415,1522600,42.257647778,-83.76665,NaN,13.599486252,0.465944222214826,11:36:20
06-Nov-2017 14:40:47,6.6117,133,1417,0,42.273833611,-83.776903611,NaN,0,0,00:00:00
06-Nov-2017 14:45:40,6.615,133,1417,292200,42.267882222,-83.772194444,NaN,1.2874454376,0,00:00:00
06-Nov-2017 16:41:28,6.6955,139,940,0,42.287011944,-83.743546667,NaN,0,0,00:00:00
06-Nov-2017 16:43:23,6.6968,139,940,115100,42.283409444,-83.747038333,NaN,0.5656947464,0,00:00:00
06-Nov-2017 17:07:46,6.7137,157,1961,0,42.274535278,-83.674354722,NaN,0,0,00:00:00
06-Nov-2017 17:10:00,6.7153,157,1961,134600,42.286706389,-83.682265278,NaN,1.9575284666,0,00:00:00
06-Nov-2017 03:30:06,6.1459,185,1515,0,42.284794444,-83.799563611,NaN,0,0,00:00:00
06-Nov-2017 03:49:05,6.1591,185,1515,1139500,42.31071,-83.698663333,NaN,10.653121356,0.5363861666926,13:11:23
06-Nov-2017 16:41:29,6.6955,185,1517,0,42.274592222,-83.674575278,NaN,0,0,00:00:00
06-Nov-2017 16:46:51,6.6992,185,1517,321900,42.304288056,-83.692676111,NaN,4.7446701043,0,00:00:00
06-Nov-2017 00:34:46,6.0242,208,806,0,42.255683611,-83.690450278,NaN,0,0,00:00:00
06-Nov-2017 00:49:51,6.0346,208,806,905100,42.245513611,-83.680763333,NaN,2.1072269661,0,00:00:00
06-Nov-2017 11:09:23,6.4649,220,123,0,42.295353611,-83.704728333,NaN,0,0,00:00:00
06-Nov-2017 11:21:29,6.4733,220,123,725900,42.235088333,-83.739194444,NaN,10.348399081,0,00:00:00
06-Nov-2017 14:17:18,6.5954,230,894,0,42.284871944,-83.748115556,NaN,0,0,00:00:00
06-Nov-2017 14:24:23,6.6003,230,894,424400,42.267954167,-83.770998611,NaN,3.272875878,0,00:00:00
06-Nov-2017 19:43:33,6.8219,232,767,0,42.285738889,-83.780486667,NaN,0,0,00:00:00
06-Nov-2017 19:48:03,6.825,232,767,269900,42.274513611,-83.7770475,NaN,1.4709746921,0,00:00:00
07-Nov-2017 00:01:13,7.0008,257,798,0,42.263719167,-83.7279,NaN,0,0,00:00:00
07-Nov-2017 00:12:10,7.0085,257,798,657600,42.244466944,-83.755700556,NaN,4.7238705493,0,00:00:00
06-Nov-2017 19:07:39,6.797,260,1017,0,42.289904167,-83.795516944,NaN,0,0,00:00:00
06-Nov-2017 19:11:16,6.7995,260,1017,217800,42.2811,-83.757756667,NaN,3.4907615405,0,00:00:00
06-Nov-2017 18:36:11,6.7751,271,837,0,42.303937778,-83.734958333,NaN,0,0,00:00:00
06-Nov-2017 18:43:35,6.7803,271,837,444100,42.281085833,-83.745808611,NaN,2.875725392,0,00:00:00
07-Nov-2017 00:03:12,7.0022,312,773,0,42.293111389,-83.687917222,NaN,0,0,00:00:00
07-Nov-2017 00:05:14,7.0036,312,773,122200,42.292117222,-83.68321,NaN,0.74551693399,0,00:00:00
06-Nov-2017 14:30:12,6.6043,319,693,0,42.2717475,-83.744359444,NaN,0,0,00:00:00
06-Nov-2017 14:38:10,6.6098,319,693,478400,42.235325833,-83.739183611,NaN,4.3655577959,0,00:00:00
06-Nov-2017 17:19:45,6.7221,334,458,0,42.272574444,-83.727961667,NaN,0,0,00:00:00
06-Nov-2017 17:22:23,6.7239,334,458,158100,42.26419,-83.725286667,NaN,1.4299453164,0,00:00:00
06-Nov-2017 16:13:28,6.676,338,1295,0,42.284875833,-83.801825,NaN,0,0,00:00:00
06-Nov-2017 16:23:44,6.6831,338,1295,615700,42.250945278,-83.756784167,NaN,8.3246900541,0.200667111092597,04:59:13
06-Nov-2017 21:12:41,6.8838,338,1296,0,42.255055,-83.751381111,NaN,0,0,00:00:00
06-Nov-2017 21:21:08,6.8897,338,1296,506300,42.277788056,-83.743320278,NaN,3.0675341823,0.0871963888962997,02:14:00
06-Nov-2017 23:26:41,6.9769,338,1297,0,42.277908611,-83.748623333,NaN,0,0,00:00:00
06-Nov-2017 23:41:03,6.9868,338,1297,861900,42.244765556,-83.756737222,NaN,5.4131810246,0,00:00:00
06-Nov-2017 21:00:53,6.8756,359,1727,0,42.285036944,-83.802056111,NaN,0,0,00:00:00
06-Nov-2017 21:02:40,6.8769,359,1727,107700,42.273190278,-83.799058611,NaN,1.5145177942,0,00:00:00
06-Nov-2017 15:21:43,6.6401,367,970,0,42.273304722,-83.780570278,NaN,0,0,00:00:00
06-Nov-2017 15:23:23,6.6412,367,970,100500,42.273123611,-83.7987025,NaN,1.5305788378,0.357819166655556,08:36:56
06-Nov-2017 23:58:39,6.9991,367,979,0,42.297055833,-83.785038611,NaN,0,0,00:00:00
07-Nov-2017 00:04:32,7.0032,367,979,353700,42.288904444,-83.755889167,NaN,3.0648250317,0,00:00:00
06-Nov-2017 20:46:07,6.8654,369,1586,0,42.273379444,-83.780023056,NaN,0,0,00:00:00
06-Nov-2017 20:57:37,6.8734,369,1586,690300,42.305533333,-83.799783611,NaN,5.1591511727,0.0990891758666708,02:34:12
06-Nov-2017 23:20:19,6.9724,369,1592,0,42.280728889,-83.776376389,NaN,0,0,00:00:00
06-Nov-2017 23:25:29,6.976,369,1592,310400,42.290330278,-83.757324444,NaN,2.9872289602,0,00:00:00
06-Nov-2017 20:20:39,6.8477,370,1361,0,42.282302222,-83.750287778,NaN,0,0,00:00:00
06-Nov-2017 20:31:05,6.8549,370,1361,626100,42.274977222,-83.734488611,NaN,2.4912456581,0.0611863610222265,01:38:33
06-Nov-2017 21:59:12,6.9161,370,1364,0,42.281482222,-83.735330556,NaN,0,0,00:00:00
06-Nov-2017 22:04:35,6.9199,370,1364,322900,42.295311667,-83.705062778,NaN,3.7932836159,0,00:00:00
06-Nov-2017 15:27:13,6.6439,371,1302,0,42.302487222,-83.704306389,64.675949097,0,0,00:00:00
06-Nov-2017 15:34:14,6.6488,371,1302,420500,42.274421944,-83.675056389,50.655696869,4.8047150639,0,00:00:00
06-Nov-2017 21:26:56,6.8937,372,381,0,42.274543611,-83.674031944,NaN,0,0,00:00:00
06-Nov-2017 21:39:43,6.9026,372,381,767200,42.321838056,-83.715342778,NaN,8.1778019662,0.0329067129703757,01:00:11
06-Nov-2017 22:27:07,6.9355,372,382,0,42.316779444,-83.7173675,NaN,0,0,00:00:00
06-Nov-2017 22:29:20,6.937,372,382,133200,42.3066075,-83.707582222,NaN,2.4543145138,0,00:00:00
06-Nov-2017 00:15:02,6.0104,374,756,0,42.309213333,-83.677691111,NaN,0,0,00:00:00
06-Nov-2017 00:41:38,6.0289,374,756,1595900,42.228233056,-83.778323889,NaN,19.707981123,0,00:00:00
06-Nov-2017 18:22:14,6.7654,393,1289,0,42.234395833,-83.739026944,NaN,0,0,00:00:00
06-Nov-2017 18:29:12,6.7703,393,1289,418200,42.243678889,-83.7392025,NaN,1.2984402058,0,00:00:00
06-Nov-2017 14:41:35,6.6122,411,757,0,42.230648611,-83.679534167,NaN,0,0,00:00:00
06-Nov-2017 14:58:49,6.6242,411,757,1034000,42.230946944,-83.680038889,NaN,11.955743406,0,00:00:00
06-Nov-2017 20:51:45,6.8693,413,715,0,42.316448611,-83.777305833,NaN,0,0,00:00:00
06-Nov-2017 21:01:02,6.8757,413,715,557600,42.274586944,-83.777130278,NaN,4.9441661742,0,00:00:00
06-Nov-2017 00:19:18,6.0134,418,509,0,42.229245,-83.745528611,NaN,0,0,00:00:00
06-Nov-2017 00:22:23,6.0156,418,509,184800,42.228191667,-83.7784825,NaN,2.7215236699,0,00:00:00
06-Nov-2017 01:25:17,6.0592,422,993,0,42.268496111,-83.758316667,NaN,0,0,00:00:00
06-Nov-2017 01:28:30,6.0615,422,993,193200,42.251738333,-83.763348333,NaN,2.0334767819,0,00:00:00
06-Nov-2017 20:32:07,6.8556,426,442,0,42.230159167,-83.699721111,NaN,0,0,00:00:00
